10309,2,5.43,0,4,1326651
5248,1,4.03,0,7,1261283
34614,4,7.29,11,7,1606150
32530,4,6.13,11,4,1580097
33760,3,8.03,11,6,1617800
32716,3,6.41,11,7,1592651
34040,2,7.27,11,10,1625761
31693,2,6.53,11,7,1596418
31649,0,6.67,13,10,1611366
32293,0,6.42,13,5,1602782
32940,3,6.15,11,7,1598169
36859,4,8.21,11,7,1627805
33047,2,7.07,11,8,1583401
32561,5,6.64,11,7,1582006
32779,3,6.40,11,9,1602167
31643,3,6.34,11,6,1581724
32953,7,6.28,11,7,1593317
32990,1,7.09,11,15,1599754
32900,1,6.82,11,7,1601286
34173,5,7.23,11,9,1625858
34291,2,7.89,11,6,1595537
34990,5,7.53,11,12,1605160
32274,2,6.26,11,5,1594459
33261,5,6.44,11,8,1596618
34167,3,7.09,13,6,1630176
33507,3,7.26,11,6,1592789
36753,3,8.17,13,9,1622073
31810,3,6.14,11,6,1588472
34093,3,6.41,13,7,1602225
32890,5,6.29,11,6,1581979
33898,2,6.90,11,7,1602477
32769,3,7.34,13,7,1598488
32444,4,6.52,13,7,1595625
32604,5,6.89,11,8,1597661
32811,3,6.41,11,7,1593786
32698,3,6.90,11,6,1594088
32157,2,6.06,11,6,1578965
34115,5,7.72,13,9,1623534
34076,4,6.74,11,11,1594115
33409,3,6.57,11,7,1595035
33890,1,7.11,11,9,1622236
32696,3,6.53,11,6,1589441
32654,4,6.30,11,7,1598339
30943,3,5.68,11,5,1585925
31922,1,8.15,13,5,1594935
34700,3,7.15,13,8,1626029
30848,3,6.14,11,3,1569800
34731,2,7.45,11,10,1599040
33318,1,6.35,13,7,1629985
61878,6,10.76,13,17,1982554
60597,3,9.81,12,16,1985776
59536,9,9.12,12,13,1969502
57959,5,9.73,13,13,1939347
56483,9,9.17,12,11,1922146
58855,5,10.18,15,15,1957600
58391,4,11.22,13,17,1958854
61142,8,15.61,13,14,1952221
57730,6,10.09,13,18,1955733
58397,8,10.79,12,16,1938269
58547,5,10.57,15,14,1958055
59660,7,11.16,15,12,1945325
58315,5,10.03,13,15,1954612
60361,5,14.72,13,18,1968332
58138,12,9.31,13,15,1930843
56262,7,9.25,13,14,1944614
53771,3,10.29,13,15,1948915
59354,8,11.07,13,17,1960940
65476,6,78.95,17,32,2006408
57019,8,9.38,13,12,1947202
59073,11,10.67,13,20,1988106
58891,8,18.05,15,18,1979342
59519,8,12.68,12,12,1960644
58405,2,27.11,13,16,1959852
57237,6,9.52,13,11,1934091
57079,8,9.57,13,15,1931124
58583,5,9.56,13,11,1917776
58139,10,9.33,12,13,1952633
56995,10,9.59,12,17,1960584
55960,9,9.62,13,16,1923933
58544,8,10.07,13,12,1955746
