Linux 4.15.0-213-generic (master) 	12/25/2023 	_x86_64_	(4 CPU)

02:38:59 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
02:39:00 AM     all      0.50      0.00      1.76      0.00      0.00     97.74
02:39:01 AM     all      0.25      0.00      1.26      0.00      0.00     98.49
02:39:02 AM     all      0.00      0.00      1.01      0.00      0.00     98.99
02:39:03 AM     all      6.20      0.00      3.23      0.00      0.00     90.57
02:39:04 AM     all      0.50      0.00      2.76      0.00      0.00     96.74
02:39:05 AM     all      0.50      0.00      1.01      0.00      0.00     98.49
02:39:06 AM     all      0.51      0.00      1.52      0.00      0.00     97.98
02:39:07 AM     all      0.00      0.00      2.01      0.00      0.00     97.99
02:39:08 AM     all      0.25      0.00      0.75      0.00      0.00     99.00
02:39:09 AM     all      0.50      0.00      0.50      0.00      0.00     98.99
02:39:10 AM     all      0.00      0.00      0.50      0.00      0.00     99.50
02:39:11 AM     all      0.00      0.00      0.76      0.00      0.00     99.24
02:39:12 AM     all      7.88      0.00      2.99      0.00      0.00     89.13
02:39:13 AM     all      0.52      0.00      1.04      0.00      0.00     98.43
02:39:14 AM     all      0.00      0.00      1.80      0.00      0.00     98.20
02:39:15 AM     all      0.26      0.00      0.78      0.00      0.00     98.97
02:39:16 AM     all      0.25      0.00      1.01      0.00      0.00     98.74

Average:        all      1.02      0.00      1.44      0.00      0.00     97.54
