Linux 4.15.0-213-generic (master) 	12/25/2023 	_x86_64_	(4 CPU)

08:53:47 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
08:53:48 AM     all      0.00      0.00      2.02      0.00      0.00     97.98
08:53:49 AM     all      0.00      0.00      1.01      0.00      0.00     98.99
08:53:50 AM     all      0.00      0.00      0.51      0.00      0.00     99.49
08:53:51 AM     all      0.25      0.00      0.50      0.00      0.00     99.24
08:53:52 AM     all      2.04      0.00      4.07      0.00      0.00     93.89
08:53:53 AM     all      0.25      0.00      1.76      0.00      0.00     97.99
08:53:54 AM     all      0.00      0.00      0.75      0.00      0.00     99.25
08:53:55 AM     all      0.00      0.00      1.50      0.00      0.00     98.50
08:53:56 AM     all      2.04      0.00      0.77      0.00      0.00     97.19
08:53:57 AM     all      0.25      0.00      0.75      0.00      0.00     98.99
08:53:58 AM     all      0.00      0.00      0.50      0.00      0.00     99.50
08:53:59 AM     all      0.00      0.00      1.00      0.00      0.00     99.00
08:54:00 AM     all      0.00      0.00      1.25      0.00      0.00     98.75
08:54:01 AM     all      0.00      0.00      1.01      0.00      0.00     98.99
08:54:02 AM     all      0.00      0.00      0.76      0.00      0.00     99.24
08:54:03 AM     all      0.25      0.00      0.50      0.00      0.00     99.25
08:54:04 AM     all      0.00      0.00      0.51      0.00      0.00     99.49
08:54:05 AM     all      0.00      0.00      1.27      0.25      0.00     98.48
08:54:06 AM     all      0.25      0.00      0.75      0.00      0.00     98.99
08:54:07 AM     all      0.00      0.00      0.76      0.00      0.00     99.24
Average:        all      0.26      0.00      1.10      0.01      0.00     98.63
