Linux 4.15.0-213-generic (master) 	12/25/2023 	_x86_64_	(4 CPU)

08:54:14 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
08:54:15 AM     all      0.51      0.00      1.52      0.00      0.00     97.97
08:54:16 AM     all      0.00      0.00      1.01      0.00      0.00     98.99
08:54:17 AM     all      0.00      0.00      1.26      0.00      0.00     98.74
08:54:18 AM     all      0.00      0.00      0.50      0.00      0.00     99.50
08:54:19 AM     all      9.91      0.00      4.96      0.00      0.00     85.13
08:54:20 AM     all      0.00      0.00      0.50      0.00      0.00     99.50
08:54:21 AM     all      0.25      0.00      0.76      0.00      0.00     98.99
08:54:22 AM     all      0.00      0.00      0.25      0.00      0.00     99.75
08:54:23 AM     all      0.50      0.00      1.51      0.00      0.00     97.98
08:54:24 AM     all      0.00      0.00      1.50      0.00      0.00     98.50
08:54:25 AM     all      0.00      0.00      0.51      0.00      0.00     99.49
08:54:26 AM     all      0.00      0.00      1.01      0.00      0.00     98.99
08:54:27 AM     all      0.00      0.00      0.25      0.00      0.00     99.75
08:54:28 AM     all      0.25      0.00      1.01      0.00      0.00     98.74
08:54:29 AM     all      0.00      0.00      0.76      0.00      0.00     99.24
08:54:30 AM     all      0.25      0.00      0.25      0.00      0.00     99.49
08:54:31 AM     all      0.00      0.00      0.51      0.00      0.00     99.49
08:54:32 AM     all      0.00      0.00      0.51      0.00      0.00     99.49
08:54:33 AM     all      0.25      0.00      0.51      0.00      0.00     99.24
08:54:34 AM     all      0.00      0.00      1.00      0.00      0.00     99.00
Average:        all      0.53      0.00      0.98      0.00      0.00     98.49
