Linux 4.15.0-213-generic (master) 	12/25/2023 	_x86_64_	(4 CPU)

08:57:12 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
08:57:13 AM     all      0.00      0.00      1.27      0.00      0.00     98.73
08:57:14 AM     all      0.00      0.00      1.25      0.00      0.00     98.75
08:57:15 AM     all      2.08      0.00      3.64      0.00      0.00     94.29
08:57:16 AM     all     32.31      0.00     18.85      0.00      0.00     48.85
08:57:17 AM     all     86.44      0.00     13.56      0.00      0.00      0.00
08:57:18 AM     all      8.20      0.00      2.19      0.00      0.00     89.62
08:57:19 AM     all      0.00      0.00      0.50      0.00      0.00     99.50
08:57:20 AM     all      0.00      0.00      1.26      0.00      0.00     98.74
08:57:21 AM     all      0.00      0.00      1.52      0.00      0.00     98.48
08:57:22 AM     all      0.00      0.00      0.25      0.00      0.00     99.75
08:57:23 AM     all      2.57      0.00      2.06      0.00      0.00     95.37
08:57:24 AM     all      0.00      0.00      0.51      0.00      0.00     99.49
08:57:25 AM     all      0.00      0.00      0.51      0.00      0.00     99.49
08:57:26 AM     all      0.25      0.00      1.25      0.00      0.00     98.50
08:57:27 AM     all      0.00      0.00      1.26      0.00      0.00     98.74
08:57:28 AM     all      0.00      0.00      1.76      0.00      0.00     98.24
08:57:29 AM     all      0.00      0.00      0.51      0.00      0.00     99.49
08:57:30 AM     all      0.00      0.00      0.76      0.00      0.00     99.24
08:57:31 AM     all      0.00      0.00      1.01      0.00      0.00     98.99
08:57:32 AM     all      0.00      0.00      0.25      0.00      0.00     99.75
08:57:33 AM     all      0.00      0.00      0.76      0.00      0.00     99.24
08:57:34 AM     all      0.00      0.00      0.25      0.00      0.00     99.75
08:57:35 AM     all      0.00      0.00      0.25      0.00      0.00     99.75
08:57:36 AM     all      0.00      0.00      0.50      0.00      0.00     99.50
08:57:37 AM     all      0.00      0.00      1.00      0.00      0.00     99.00
08:57:38 AM     all      0.25      0.00      0.51      0.00      0.00     99.24
08:57:39 AM     all      0.25      0.00      0.50      0.00      0.00     99.25
08:57:40 AM     all      0.51      0.00      1.26      0.00      0.00     98.23
08:57:41 AM     all      0.25      0.00      0.51      0.00      0.00     99.24
08:57:42 AM     all      0.00      0.00      1.00      0.00      0.00     99.00
08:57:43 AM     all      0.25      0.00      1.00      0.00      0.00     98.75
08:57:44 AM     all      0.00      0.00      1.25      0.00      0.00     98.75
08:57:45 AM     all      0.00      0.00      0.25      0.00      0.00     99.75
08:57:46 AM     all      0.00      0.00      0.51      0.00      0.00     99.49
08:57:47 AM     all      0.25      0.00      0.75      0.00      0.00     99.00
08:57:48 AM     all      0.25      0.00      0.25      0.00      0.00     99.49
08:57:49 AM     all      0.00      0.00      0.50      0.00      0.00     99.50
08:57:50 AM     all      0.00      0.00      0.76      0.00      0.00     99.24
08:57:51 AM     all      0.25      0.00      0.75      0.00      0.00     99.00
08:57:52 AM     all      0.00      0.00      0.25      0.00      0.00     99.75
08:57:53 AM     all      0.00      0.00      0.76      0.00      0.00     99.24
08:57:54 AM     all      0.00      0.00      0.25      0.00      0.00     99.75
08:57:55 AM     all      0.25      0.00      0.75      0.00      0.00     98.99
08:57:56 AM     all      0.00      0.00      0.51      0.00      0.00     99.49
08:57:57 AM     all      0.00      0.00      0.75      0.00      0.00     99.25
08:57:58 AM     all      0.25      0.00      0.25      0.00      0.00     99.49
08:57:59 AM     all      0.00      0.00      0.51      0.00      0.00     99.49
08:58:00 AM     all      0.00      0.00      0.76      0.00      0.00     99.24
08:58:01 AM     all      0.25      0.00      0.50      0.00      0.00     99.24
08:58:02 AM     all      0.76      0.00      1.52      0.00      0.00     97.72
08:58:03 AM     all      0.00      0.00      0.25      0.00      0.00     99.75
08:58:04 AM     all      0.25      0.00      0.75      0.00      0.00     98.99
08:58:05 AM     all      0.00      0.00      0.51      0.00      0.00     99.49
08:58:06 AM     all      0.25      0.00      0.76      0.00      0.00     98.99
08:58:07 AM     all      0.00      0.00      0.51      0.00      0.00     99.49
08:58:08 AM     all      0.00      0.00      0.51      0.00      0.00     99.49
