branch-misses,cpu-migrations,cpu-clock,page-faults,context-switches,branches,call-percent,cpu-idle,disk-io,network-bandwidth
10309,2,5.43,0,4,1326651,0.0,80.25121797340164,558.6419133025914,381.68485422550043
2786467.86,5.0,11.16,16.0,10.0,387655.5,67.0,22.178847166582383,1666.398391817039,383.1517965733739
10530.6,5.0,6.81,679903.0,5.0,378384.89999999997,67.0,19.556496979643615,6162.662472685559,34.88713813030204
2968.5599999999995,2.0,7.73,15.0,16.0,143835.21,67.0,5.8276848938794705,536.0150705910996,413.9322070843983
11172.3,5.0,6.38,11.0,7.0,474593.69999999995,0.0,6.038275758478893,1308.3695350299677,499.7778614146682
17517.3,2488.0,6.26,676102.0,11.0,716576.4,60.0,15.849240487832152,6702.186141444664,1324.1199911925369
5248,1,4.03,0,7,1261283,0.0,73.7912926466832,573.3655502943676,413.70416844730823
34614,4,7.29,11,7,1606150,0.0,104.4942966015536,585.2541300549706,387.2188640355673
32530,4,6.13,11,4,1580097,0.0,71.59728775443648,555.1627179896652,423.72166857215257
11850.3,12.0,9.57,18.0,2.0,457657951.5,67.0,6.121470754077832,1440.2313644806916,1478.0516193817753
3500.1899999999996,9.0,7.45,11.0,6056.0,173623.13999999998,60.0,4.653434954735553,1750.1024221885264,246.19218820207945
3563.9099999999994,9.0,5.85,11.0,111546.0,716274.9,67.0,7.1161869732980145,1308.2404445897623,384.4006761260481
3069.9,2594.0,9.97,11.0,6.0,478226.39999999997,67.0,7.390597458139154,1257.0304338724818,533.3539387155087
10167.0,6.0,11.51,11.0,5.0,456380042.7,67.0,15.57176403295146,1429.1907784799805,278.47846778398724
17494.5,1.0,7.89,11.0,7.0,382123.5,0.0,16.241059113789223,1308.2404445897623,1275.7462719213506
33760,3,8.03,11,6,1617800,0.0,61.24139993785005,603.4379808446006,456.48237346306905
21972.6,4.0,9.54,11.0,24.0,521619.89999999997,60.0,3.814275219537973,1355.1946380146615,35.08889811648517
10466.4,3.0,11.49,680025.0,5.0,586723.7999999999,0.0,16.53943594727407,1000.3478119393587,32.645168374547055
10326.9,4.0,12.79,11.0,10.0,142378.11,60.0,3.082412646907163,1288.0350403428595,35.36550721163422
32716,3,6.41,11,7,1592651,0.0,60.35603438626866,563.1360665076933,399.1008264116548
6301.889999999999,3.0,10.67,0.0,6.0,455742923.4,0.0,6.875435531505519,1322.8091671656298,1258.005390524147
5648.49,4.0,7.45,18.0,11.0,218281.58999999997,60.0,26.837943929692063,1024.7594937965932,1370.316999473246
17519.1,9.0,7.39,4.0,111074.0,458516659.2,67.0,5.179561767527356,1347.550769138764,390.0505709489863
2949.2099999999996,4.0,8.24,0.0,19.0,44009.594999999994,0.0,0.8703051237667605,1743.6525494128746,1372.356048045813
12589.199999999999,5.0,12.26,4.0,7.0,581235.2999999999,0.0,0.5122295140991201,1523.468427815586,381.7556486752216
23060.7,3.0,6.44,12.0,5.0,581804.1,60.0,25.364801594746883,6495.379274889596,278.47846778398724
8369.4,3.0,13.19,18.0,13.0,214143.65999999997,60.0,4.6715292098854375,1481.7649129947522,506.22677580916576
