1374953,175910,19,23.77,0,3,61.66,1605.43,549.98
19663051,4797530,64,339.30,3,988,67.48,1618.37,621.07
1367042,174265,35,26.54,2,4,58.43,1576.62,590.85
1389233,180486,48,26.05,1,3,70.07,1688.05,741.24
1326149,143368,12,24.63,1,3,61.82,1686.63,757.91
1337684,157912,33,25.32,1,3,62.7,1694.0,637.95
45896860,11884987,314,850.94,6,3105,62.28,1541.1,707.3
27147923,6798495,277,473.03,1,1497,60.47,1453.93,718.52
31145080,7680314,81,543.59,0,1914,62.23,1486.86,671.18
9430790,2177294,55,165.17,2,459,69.07,1656.35,651.23
73143643,17375418,193,1272.80,3,5734,66.18,1500.52,640.27
22292568,5633794,158,394.96,3,1201,63.85,1670.27,659.72
24287658,5946218,103,433.61,0,1399,58.9,1431.76,726.72
1153312,95163,13,21.43,1,1,69.09,1463.87,664.79
1328161,147811,13,25.27,2,4,63.47,1650.29,762.0
1128240,77528,7,19.26,0,1,67.9,1555.02,746.59
3254850,519009,33,53.74,4,180,68.43,1691.39,659.71
1309118,142390,15,25.65,1,3,61.88,1592.58,704.42
34308194,8753174,89,605.20,0,2237,68.85,1579.71,712.56
4245818,757328,33,71.86,4,216,59.87,1508.05,718.33
68927460,16309256,356,1247.43,7,5151,64.51,1454.01,687.78
5071419,942437,42,86.05,3,271,59.52,1499.9,752.15
1319649,140471,12,24.89,3,4,70.19,1515.66,753.59
142718,46803,6,3.98,1,1,66.03,1490.03,650.84
18126975,4790363,278,326.09,3,866,60.67,1450.88,685.64
36225226,9076997,335,636.58,4,2286,67.12,1468.32,700.06
1347083,162216,28,26.35,1,3,65.01,1606.65,665.56
2696676,346643,49,41.99,3,154,60.66,1552.07,767.27
71803336,17168354,99,1244.62,2,5382,69.45,1486.98,668.88
1354389,171556,30,26.35,3,4,63.97,1643.84,731.53
2679936,340024,34,41.76,4,152,58.56,1621.98,741.89
38495690,10265945,733,714.77,3,2371,70.04,1699.12,696.05
1170168,100708,30,20.50,1,1,63.09,1638.93,668.59
25323062,6477020,194,442.89,1,1411,64.71,1690.71,657.9
11818043,2824371,58,208.13,1,564,65.71,1637.54,678.71
66465996,15658603,121,1148.52,1,4927,63.05,1453.17,744.42
22532825,5775022,292,436.28,4,1201,62.61,1661.99,697.44
12924548,3303254,182,230.75,2,597,63.8,1420.46,648.96
15447169,4004535,178,267.39,1,711,69.15,1578.02,645.94
58045664,14360608,311,1082.28,2,4228,64.15,1468.57,752.8
33207311,8261895,193,614.94,2,2072,68.07,1401.4,716.11
69162674,16208147,59,1183.85,3,5221,63.25,1555.16,630.77
1326807,151209,13,25.63,0,3,59.73,1569.0,642.18
59893224,14911867,544,1117.74,0,4374,63.41,1486.61,756.34
32320173,8229272,192,587.62,1,1961,60.35,1492.97,703.61
1317163,148082,28,24.95,2,3,62.05,1694.3,686.95
1316614,143743,17,24.57,2,3,66.44,1432.11,732.38
1313021,136212,13,24.11,3,3,61.92,1546.29,716.92
9579947,2174600,59,169.99,5,464,58.92,1562.84,684.37
1312155,142581,16,24.44,1,3,59.19,1622.95,722.23
36596845,9274655,104,648.48,1,2318,58.56,1655.03,713.0
1364015,172468,45,25.66,2,3,69.65,1641.23,695.03
56093025,13883154,128,1014.75,2,4177,65.04,1539.07,666.21
14182133,3568638,76,244.61,1,671,58.53,1614.98,631.17
73587326,18051038,525,1365.18,4,5726,60.65,1565.02,675.81
32672518,8170967,222,585.24,1,1995,62.65,1481.43,673.2
36880845,9790613,657,714.93,5,2291,61.38,1530.65,644.23
2732471,378832,73,43.53,4,148,66.15,1415.63,635.44
1335045,152011,32,24.91,2,3,62.43,1572.99,742.18
1338596,155688,28,25.40,0,3,58.86,1701.24,718.34
11398759,2689898,69,200.06,5,541,62.52,1663.02,711.19
71566008,17479753,351,1316.42,5,5365,66.54,1514.03,676.38
1515934,216378,37,29.80,2,19,64.26,1424.37,730.88
16948651,4399596,73,298.36,2,833,63.78,1590.22,755.12
53689917,13167205,119,964.24,1,3953,64.12,1471.74,738.85
1326627,147702,21,25.02,1,4,64.24,1477.37,631.08
39234290,10055650,217,732.53,5,2462,66.99,1568.01,743.5
22971998,5869252,325,403.54,5,1226,61.48,1498.95,703.12
7003371,1592113,50,124.40,2,337,67.9,1485.85,678.06
1158542,87747,21,20.26,2,0,65.81,1403.74,728.17
12186202,2872351,58,215.49,5,593,59.93,1462.83,633.64
21138353,5248718,53,366.58,1,1063,67.0,1498.92,720.49
68908500,16786324,159,1200.06,2,5177,61.88,1489.2,671.6
47415743,12272487,129,844.60,1,3262,61.43,1634.75,655.22
55430259,13497633,196,1001.73,4,4019,65.5,1604.77,635.22
52770340,12887430,255,926.88,3,3638,64.13,1550.45,681.44
43885273,10965447,153,771.71,2,2955,70.75,1622.64,648.52
26385864,6601819,76,460.70,2,1482,58.7,1601.49,748.26
6819368,1592864,94,125.02,0,325,58.89,1582.81,686.34
12065714,2989999,99,241.77,5,590,59.8,1559.22,707.4
35030683,8590091,88,610.64,1,2260,67.68,1554.9,650.9
1304605,133269,14,24.69,0,3,69.48,1633.78,685.4
1312531,137588,16,24.60,2,3,62.85,1466.75,715.81
47105714,12223462,139,877.71,2,3220,69.05,1643.8,730.29
31789035,7909912,110,557.55,1,1950,65.68,1672.09,723.66
15286539,3820754,160,265.61,0,712,61.99,1489.9,700.99
