1330931,162360,9,25.23,4,6
6749927,1515265,54,118.78,1,329
2231160,314509,46,38.52,3,76
51604372,13075048,188,907.98,2,3555
32034107,7980657,103,558.91,4,1960
64266841,15186220,184,1112.86,2,4743
20912005,5163120,87,363.23,2,1052
42826906,11067498,84,757.11,2,2865
18789481,4690350,101,325.79,3,956
55321204,13924228,115,971.14,3,4018
5802186,1165165,49,99.63,3,291
9818868,2258734,56,173.18,3,478
25494088,6623265,157,444.39,3,1417
76036624,18094399,187,1321.47,3,6112
30889608,7919285,66,543.16,3,1899
5890642,1185822,35,99.12,4,292
35811758,9218031,52,626.99,0,2294
50759273,12375438,87,886.33,4,3503
1289448,134376,14,25.21,2,7
10919137,2593475,92,194.65,2,534
1313295,149571,21,26.39,6,6
15053597,3885247,398,264.29,1,696
71410593,16728000,77,1236.73,1,5371
48984136,12237657,281,861.42,5,3361
23654451,5920799,52,414.05,2,1380
1129177,76398,7,20.53,0,1
1151892,94773,13,21.78,6,1
4487418,810291,48,77.00,2,228
53012813,13458969,1034,939.80,1,3556
59511961,14536063,202,1044.39,3,4441
20921962,5191691,176,363.74,4,1049
21522428,5335090,98,371.43,4,1114
60703679,15384547,766,1080.67,2,4467
29208587,7501599,109,513.66,3,1712
14971251,3776893,80,260.60,2,708
146888,48998,7,4.04,0,0
25328915,6506907,89,439.84,3,1416
1386580,212371,48,28.30,1,6
1335128,157275,32,26.45,7,6
1252988,132242,32,24.50,2,8
49081892,12428024,145,875.80,4,3385
67316993,16482621,158,1162.54,5,4956
55067893,13882150,190,966.13,2,4002
11078040,2594591,46,196.36,2,538
5429469,1005425,49,94.20,3,291
49475197,12202747,110,872.50,2,3417
34626513,8626493,118,610.01,3,2236
6814696,1535021,81,116.71,4,329
1300705,137382,14,25.64,1,7
7956659,1809251,48,138.86,1,393
1340075,158861,14,24.78,0,6
21748465,5351043,89,374.37,4,1156
8350285,1934769,68,147.21,2,409
50038531,12666638,112,881.34,1,3471
21705783,5336046,72,372.71,7,1157
4526837,800593,32,75.12,1,239
20794362,5100318,110,356.22,0,1048
1336871,160699,35,26.92,3,6
12801385,3221551,77,225.09,1,596
71877374,16892055,165,1231.33,1,5374
20951556,5285604,60,361.08,1,1053
44078922,11013552,133,778.28,1,2986
7020847,1575685,58,125.64,3,340
36478745,9269257,94,648.09,2,2314
50058591,12261170,106,872.79,2,3470
9317000,2146027,84,164.10,2,456
6531501,1483554,111,114.13,7,299
8149367,1903895,63,148.33,0,404
26200613,6487775,79,452.90,5,1475
11385619,2743654,50,202.93,0,539
46533227,11858893,142,829.49,2,3170
36914579,9186241,95,646.11,4,2340
2927725,416559,51,48.67,5,176
33741599,8780186,295,597.90,2,2106
57504326,14129703,128,1013.74,1,4226
68017667,16392994,155,1185.68,6,5141
44776546,11423976,115,800.27,1,3036
68867181,16331400,228,1200.43,2,5164
6308317,1388689,43,108.45,1,292
1319352,143464,17,26.12,4,6
40957554,10406394,82,721.70,0,2719
1318420,147752,10,26.32,2,6
145721,46703,8,3.92,0,1
13643978,3277442,65,235.84,2,627
48842454,12257266,117,865.21,7,3369
1318517,139644,16,25.56,3,7
10708873,2480855,72,189.70,4,531
16028836,4249938,154,293.77,3,724
4848082,886322,50,83.76,1,259
1311307,142159,20,25.50,5,7
21542633,5319131,62,372.73,1,1131
50164051,12343487,114,880.08,1,3473
50238363,12692745,50,888.47,3,3481
62706893,15139521,143,1097.38,5,4692
50763058,12512937,194,887.09,0,3489
22525167,5610295,77,390.16,1,1216
8488409,1885087,43,148.12,0,423
45210230,11343728,125,803.27,1,3062
29158085,7281937,77,513.39,5,1711
3873419,680847,61,65.92,6,196
1923761,312038,21,38.20,3,28
71875828,18479810,349,1307.97,2,5068
