Linux 5.15.0-starfive (starfive) 	12/25/23 	_riscv64_	(4 CPU)

08:55:56          tps      rtps      wtps      dtps   bread/s   bwrtn/s   bdscd/s
08:55:57         2.00      0.00      2.00      0.00      0.00    232.00      0.00
08:55:58         0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:55:59         0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:56:00         0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:56:01         6.00      0.00      6.00      0.00      0.00    256.00      0.00
08:56:02         1.00      0.00      1.00      0.00      0.00      8.00      0.00
08:56:03         0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:56:04         3.00      0.00      3.00      0.00      0.00     24.00      0.00
08:56:05         0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:56:06        21.00      0.00     21.00      0.00      0.00    272.00      0.00
08:56:07         2.00      0.00      2.00      0.00      0.00    528.00      0.00
08:56:08         0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:56:09         0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:56:10         0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:56:11         3.00      0.00      3.00      0.00      0.00    440.00      0.00
08:56:12         4.00      0.00      4.00      0.00      0.00     32.00      0.00
08:56:13         1.00      0.00      1.00      0.00      0.00     16.00      0.00
08:56:14         1.00      0.00      1.00      0.00      0.00     40.00      0.00
08:56:15         0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:56:16        16.00      0.00     16.00      0.00      0.00    160.00      0.00
Average:         3.00      0.00      3.00      0.00      0.00    100.40      0.00
