Linux 5.15.0-starfive (starfive) 	12/25/23 	_riscv64_	(4 CPU)

11:40:42          tps      rtps      wtps      dtps   bread/s   bwrtn/s   bdscd/s
11:41:46         3.00      0.00      3.00      0.00      0.00    112.00      0.00
11:41:47         0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:41:48         2.00      0.00      2.00      0.00      0.00     32.00      0.00
11:41:49         0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:41:50         0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:41:51         4.00      0.00      4.00      0.00      0.00    144.00      0.00
11:41:52         0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:41:53         0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:41:54         0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:41:55         0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:41:56         8.91      0.00      8.91      0.00      0.00    158.42      0.00
11:41:57         0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:41:58         0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:41:59         0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:42:00         0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:42:01         3.00      0.00      3.00      0.00      0.00    104.00      0.00
11:42:02         0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:42:03         0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:42:04         0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:42:05         0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:42:06         9.00      0.00      9.00      0.00      0.00    168.00      0.00
11:42:07         0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:42:08         0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:42:09         0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:42:10         0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:42:11         3.00      0.00      3.00      0.00      0.00    104.00      0.00
11:42:12         0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:42:13         1.00      0.00      1.00      0.00      0.00    224.00      0.00
11:42:14         0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:42:15         0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:42:16        16.00      0.00     16.00      0.00      0.00    352.00      0.00
11:42:17         0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:42:18         0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:42:19         1.00      0.00      1.00      0.00      0.00     16.00      0.00
11:42:20         0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:42:21         3.00      0.00      3.00      0.00      0.00    104.00      0.00
11:42:22         0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:         1.63      0.00      1.63      0.00      0.00     48.24      0.00
