Linux 5.15.0-starfive (starfive) 	12/25/23 	_riscv64_	(4 CPU)

11:40:42          tps      rtps      wtps      dtps   bread/s   bwrtn/s   bdscd/s
11:40:43         1.00      0.00      1.00      0.00      0.00    224.00      0.00
11:40:44         0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:40:45        17.00      0.00     17.00      0.00      0.00    336.00      0.00
11:40:46         1.00      0.00      1.00      0.00      0.00     32.00      0.00
11:40:47         1.00      0.00      1.00      0.00      0.00      8.00      0.00
11:40:48         0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:40:49         0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:40:50         2.00      0.00      2.00      0.00      0.00     96.00      0.00
11:40:51         4.00      0.00      4.00      0.00      0.00     56.00      0.00
11:40:52         0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:40:53         0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:40:54         0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:40:55         9.00      0.00      9.00      0.00      0.00    136.00      0.00
11:40:56         1.00      0.00      1.00      0.00      0.00     32.00      0.00
11:40:57         0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:40:58         0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:40:59         0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:41:00         2.00      0.00      2.00      0.00      0.00     72.00      0.00
11:41:01         1.00      0.00      1.00      0.00      0.00     40.00      0.00
11:41:02         1.00      0.00      1.00      0.00      0.00     88.00      0.00
11:41:03         0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:41:04         0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:41:05         0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:41:06         5.00      0.00      5.00      0.00      0.00    152.00      0.00
11:41:07         1.00      0.00      1.00      0.00      0.00    224.00      0.00
11:41:08         0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:41:09         0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:41:10         0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:41:11        21.00      0.00     21.00      0.00      0.00    400.00      0.00
11:41:12         0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:41:13         0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:41:14         0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:41:15         0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:41:16         3.00      0.00      3.00      0.00      0.00    104.00      0.00
11:41:17         1.00      0.00      1.00      0.00      0.00     16.00      0.00
11:41:18         0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:41:19         0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:41:20         0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:41:21        14.00      0.00     14.00      0.00      0.00    232.00      0.00
11:41:22         1.00      0.00      1.00      0.00      0.00    512.00      0.00
11:41:23         0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:41:24         0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:41:25         0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:41:26         3.00      0.00      3.00      0.00      0.00    128.00      0.00
11:41:27         0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:41:28         0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:41:29         0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:41:30         0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:41:31        10.00      0.00     10.00      0.00      0.00    168.00      0.00
11:41:32         0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:41:33         0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:41:34         0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:41:35         0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:41:36         3.00      0.00      3.00      0.00      0.00    104.00      0.00
11:41:37         0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:41:38         0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:41:39         0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:41:40         0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:41:41         7.00      0.00      7.00      0.00      0.00    144.00      0.00
11:41:42         0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:41:43         0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:41:44         0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:41:45         0.00      0.00      0.00      0.00      0.00      0.00      0.00
