Linux 5.15.0-starfive (starfive) 	12/25/23 	_riscv64_	(4 CPU)

08:55:26          tps      rtps      wtps      dtps   bread/s   bwrtn/s   bdscd/s
08:55:27         1.00      0.00      1.00      0.00      0.00    224.00      0.00
08:55:28         0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:55:29         0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:55:30         2.00      0.00      2.00      0.00      0.00    176.00      0.00
08:55:31         1.00      0.00      1.00      0.00      0.00     48.00      0.00
08:55:32         1.00      0.00      1.00      0.00      0.00      8.00      0.00
08:55:33         0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:55:34         0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:55:35        18.00      0.00     18.00      0.00      0.00    512.00      0.00
08:55:36         1.00      0.00      1.00      0.00      0.00      8.00      0.00
08:55:37         1.00      0.00      1.00      0.00      0.00      8.00      0.00
08:55:38         0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:55:39         1.00      0.00      1.00      0.00      0.00    224.00      0.00
08:55:40         7.00      0.00      7.00      0.00      0.00     88.00      0.00
08:55:41         2.00      0.00      2.00      0.00      0.00    176.00      0.00
08:55:42         0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:55:43         0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:55:44         0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:55:45         1.00      0.00      1.00      0.00      0.00    512.00      0.00
08:55:46        19.00      0.00     19.00      0.00      0.00    272.00      0.00
Average:         2.75      0.00      2.75      0.00      0.00    112.80      0.00
