Linux 5.15.0-starfive (starfive) 	12/25/23 	_riscv64_	(4 CPU)

08:54:53          tps      rtps      wtps      dtps   bread/s   bwrtn/s   bdscd/s
08:54:54         1.00      0.00      1.00      0.00      0.00    224.00      0.00
08:54:55         0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:54:56        24.00      0.00     24.00      0.00      0.00    440.00      0.00
08:54:57         0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:54:58         0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:54:59         1.00      0.00      1.00      0.00      0.00      8.00      0.00
08:55:00         0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:55:01         2.00      0.00      2.00      0.00      0.00     88.00      0.00
08:55:02         0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:55:03         0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:55:04         1.00      0.00      1.00      0.00      0.00     32.00      0.00
08:55:05         3.00      0.00      3.00      0.00      0.00     24.00      0.00
08:55:06        18.00      0.00     18.00      0.00      0.00    264.00      0.00
08:55:07        37.00      0.00     37.00      0.00      0.00    384.00      0.00
08:55:08         0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:55:09         0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:55:10         1.00      0.00      1.00      0.00      0.00     40.00      0.00
08:55:11         0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:55:12         6.00      0.00      6.00      0.00      0.00    144.00      0.00
08:55:13         0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:         4.70      0.00      4.70      0.00      0.00     82.40      0.00
