Linux 5.15.0-starfive (starfive) 	12/20/23 	_riscv64_	(4 CPU)

04:54:21        CPU     %user     %nice   %system   %iowait    %steal     %idle
04:54:22        all      0.25      0.00      0.75      0.00      0.00     99.00
04:54:23        all      0.50      0.00      1.01      0.00      0.00     98.49
04:54:24        all      2.77      0.00      0.25      0.00      0.00     96.98
04:54:25        all      0.00      0.00      0.00      0.00      0.00    100.00
04:54:26        all      1.01      0.00      0.00      0.25      0.00     98.74
04:54:27        all      0.00      0.00      0.25      0.00      0.00     99.75
04:54:28        all      0.00      0.00      0.00      0.00      0.00    100.00
04:54:29        all      3.02      0.00      0.00      0.00      0.00     96.98
04:54:30        all      0.00      0.00      0.00      0.00      0.00    100.00
04:54:31        all      0.51      0.00      0.25      0.00      0.00     99.24
04:54:32        all      0.00      0.00      0.00      0.00      0.00    100.00
04:54:33        all      0.25      0.00      0.00      0.00      0.00     99.75
04:54:34        all      3.77      0.00      0.00      0.00      0.00     96.23
04:54:35        all      0.00      0.00      0.00      0.00      0.00    100.00
04:54:36        all      0.50      0.00      0.50      0.25      0.00     98.74
04:54:37        all      2.50      0.00      0.25      0.00      0.00     97.25
04:54:38        all     82.87      0.00      0.76      0.00      0.00     16.37
04:54:39        all     98.50      0.00      1.50      0.00      0.00      0.00
04:54:40        all    100.00      0.00      0.00      0.00      0.00      0.00
04:54:41        all     94.00      0.00      0.50      0.00      0.00      5.50
04:54:42        all      0.25      0.00      0.00      0.00      0.00     99.75
04:54:43        all      0.50      0.00      1.50      0.00      0.00     97.99
04:54:44        all      2.78      0.00      0.25      0.00      0.00     96.97


Average:        all     17.18      0.00      0.34      0.02      0.00     82.46
