Linux 5.15.0-starfive (starfive) 	12/25/23 	_riscv64_	(4 CPU)

08:55:26        CPU     %user     %nice   %system   %iowait    %steal     %idle
08:55:27        all      6.77      0.00      2.26      0.00      0.00     90.98
08:55:28        all      0.00      0.00      0.50      0.00      0.00     99.50
08:55:29        all      1.52      0.00      0.00      0.00      0.00     98.48
08:55:30        all      4.01      0.00      0.75      0.25      0.00     94.99
08:55:31        all     90.20      0.00      0.25      0.00      0.00      9.55
08:55:32        all      8.04      0.00      0.50      0.00      0.00     91.46
08:55:33        all      1.25      0.00      0.25      0.00      0.00     98.50
08:55:34        all      2.00      0.00      1.75      0.00      0.00     96.26
08:55:35        all      7.04      0.00      1.01      0.00      0.00     91.96
08:55:36        all      2.51      0.00      0.25      0.00      0.00     97.24
08:55:37        all      0.00      0.00      0.25      0.00      0.00     99.75
08:55:38        all      0.00      0.00      0.00      0.00      0.00    100.00
08:55:39        all      7.02      0.00      1.50      0.00      0.00     91.48
08:55:40        all      1.76      0.00      0.25      0.00      0.00     97.98
08:55:41        all      2.24      0.00      0.50      0.25      0.00     97.01
08:55:42        all      0.00      0.00      0.00      0.00      0.00    100.00
08:55:43        all      0.51      0.00      0.76      0.00      0.00     98.74
08:55:44        all      1.52      0.00      0.00      0.00      0.00     98.48
08:55:45        all      1.51      0.00      0.00      0.00      0.00     98.49
08:55:46        all      1.76      0.00      0.00      0.25      0.00     97.98
Average:        all      6.98      0.00      0.54      0.04      0.00     92.44
