Linux 5.15.0-starfive (starfive) 	12/25/23 	_riscv64_	(4 CPU)

08:54:53        CPU     %user     %nice   %system   %iowait    %steal     %idle
08:54:54        all     14.61      0.00      1.51      0.00      0.00     83.88
08:54:55        all      1.25      0.00      0.00      0.00      0.00     98.75
08:54:56        all      1.51      0.00      0.25      1.76      0.00     96.47
08:54:57        all      0.00      0.00      0.00      0.00      0.00    100.00
08:54:58        all      0.00      0.00      0.00      0.00      0.00    100.00
08:54:59        all      3.24      0.00      0.75      0.00      0.00     96.01
08:55:00        all     58.25      0.00      0.50      0.00      0.00     41.25
08:55:01        all     82.07      0.00      0.51      0.00      0.00     17.42
08:55:02        all     81.86      0.00      0.25      0.00      0.00     17.88
08:55:03        all     83.21      0.00      0.25      0.00      0.00     16.54
08:55:04        all     83.29      0.00      0.25      0.00      0.00     16.46
08:55:05        all     81.55      0.00      0.00      0.00      0.00     18.45
08:55:06        all     83.33      0.00      0.25      0.25      0.00     16.17
08:55:07        all     59.60      0.00      1.25      0.50      0.00     38.65
08:55:08        all      0.75      0.00      0.25      0.00      0.00     99.00
08:55:09        all      4.80      0.00      0.00      0.00      0.00     95.20
08:55:10        all      0.00      0.00      0.25      0.00      0.00     99.75
08:55:11        all      3.49      0.00      0.75      0.00      0.00     95.76
08:55:12        all      0.50      0.00      0.50      0.25      0.00     98.75
08:55:13        all      1.01      0.00      1.26      0.00      0.00     97.74
Average:        all     32.26      0.00      0.44      0.14      0.00     67.16
