Linux 5.15.0-starfive (starfive) 	12/20/23 	_riscv64_	(4 CPU)

04:53:05        CPU     %user     %nice   %system   %iowait    %steal     %idle
04:53:06        all      1.01      0.00      0.25      0.25      0.00     98.49
04:53:07        all      0.00      0.00      0.00      0.00      0.00    100.00
04:53:08        all      0.00      0.00      0.00      0.00      0.00    100.00
04:53:09        all      3.02      0.00      0.25      0.00      0.00     96.73
04:53:10        all      0.00      0.00      0.00      0.00      0.00    100.00
04:53:11        all      1.00      0.00      0.25      0.25      0.00     98.50
04:53:12        all      0.00      0.00      0.50      2.01      0.00     97.49
04:53:13        all      0.00      0.00      0.00      0.00      0.00    100.00
04:53:14        all      2.27      0.00      0.25      0.00      0.00     97.47
04:53:15        all     72.68      0.00      1.25      0.00      0.00     26.07
04:53:16        all     94.78      0.00      0.00      0.00      0.00      5.22
04:53:17        all     95.32      0.00      0.49      0.00      0.00      4.19
04:53:18        all     93.15      0.00      0.98      0.00      0.00      5.87
04:53:19        all     92.75      0.00      0.75      0.00      0.00      6.50
04:53:20        all     95.43      0.00      0.51      0.00      0.00      4.06
04:53:21        all     94.35      0.00      0.00      0.00      0.00      5.65
04:53:22        all     93.84      0.00      0.74      0.00      0.00      5.42
04:53:23        all     90.95      0.00      1.26      0.00      0.00      7.79
04:53:24        all     94.94      0.00      0.25      0.00      0.00      4.81
04:53:25        all     93.69      0.00      0.25      0.00      0.00      6.06
04:53:26        all     95.31      0.00      0.00      0.00      0.00      4.69
04:53:27        all     95.44      0.00      0.00      0.00      0.00      4.56
04:53:28        all     92.66      0.00      0.51      0.00      0.00      6.84
04:53:29        all     92.42      0.00      0.76      0.00      0.00      6.82
04:53:30        all     94.95      0.00      0.25      0.00      0.00      4.80
04:53:31        all     92.88      0.00      0.00      0.00      0.00      7.12
04:53:32        all     93.42      0.00      0.25      0.00      0.00      6.33
04:53:33        all     94.19      0.00      0.00      0.00      0.00      5.81
04:53:34        all     94.68      0.00      1.01      0.00      0.00      4.30
04:53:35        all     94.47      0.00      0.00      0.00      0.00      5.53
04:53:36        all     72.73      0.00      0.25      0.00      0.00     27.02
04:53:37        all      0.25      0.00      0.00      0.50      0.00     99.25
04:53:38        all      0.74      0.00      0.00      0.00      0.00     99.26
04:53:39        all      3.02      0.00      0.25      0.00      0.00     96.73
04:53:40        all      0.00      0.00      0.00      0.00      0.00    100.00
04:53:41        all      1.25      0.00      0.25      0.00      0.00     98.50

Average:        all     56.63      0.00      0.32      0.08      0.00     42.96
